"Clade","SampleID","Date","Rep","Month","Year","lake","Treatment","sample_name","sum_TPM_rel_abund","sum_TPM"
"Mae1","ND-1","18_06_28","R1","06","18","LE","control","18_06_28_R1",0.511945392,5119.4539248
"Mae1","ND-10","18_07_10","R1","07","18","LE","control","18_07_10_R1",0.563544501,5635.445006
"Mae1","ND-11","18_07_10","R1","07","18","LE","quagga","18_07_10_R1",0,0
"Mae1","ND-12","18_07_10","R2","07","18","LE","quagga","18_07_10_R2",0.16371047,1637.104696
"Mae1","ND-13","18_07_10","R3","07","18","LE","quagga","18_07_10_R3",0.831994492,8319.944916
"Mae1","ND-14","18_07_10","R4","07","18","LE","quagga","18_07_10_R4",0.922098569,9220.985691
"Mae1","ND-15","18_07_25","R1","07","18","LE","control","18_07_25_R1",0.376489731,3764.897309
"Mae1","ND-16","18_07_25","R2","07","18","LE","control","18_07_25_R2",0.781717538,7817.175366
"Mae1","ND-17","18_07_25","R3","07","18","LE","control","18_07_25_R3",0.343821877,3438.218766
"Mae1","ND-18","18_07_25","R1","07","18","LE","quagga","18_07_25_R1",0.554960196,5549.60196
"Mae1","ND-19","18_07_25","R2","07","18","LE","quagga","18_07_25_R2",0.555672651,5556.726513
"Mae1","ND-2","18_06_28","R2","06","18","LE","control","18_06_28_R2",1.030984744,10309.847448
"Mae1","ND-20","18_07_25","R3","07","18","LE","quagga","18_07_25_R3",0.437079859,4370.7985863
"Mae1","ND-21","18_07_25","R4","07","18","LE","quagga","18_07_25_R4",0.706907584,7069.07584
"Mae1","ND-22","18_08_15","R1","08","18","LE","control","18_08_15_R1",0.59883207,5988.32071
"Mae1","ND-23","18_08_15","R2","08","18","LE","control","18_08_15_R2",1.451814768,14518.14768
"Mae1","ND-24","18_08_15","R3","08","18","LE","control","18_08_15_R3",0.315878906,3158.789058
"Mae1","ND-25","18_08_15","R1","08","18","LE","quagga","18_08_15_R1",0.358940507,3589.405066
"Mae1","ND-26","18_08_15","R2","08","18","LE","quagga","18_08_15_R2",1.428722244,14287.222435
"Mae1","ND-27","18_08_15","R3","08","18","LE","quagga","18_08_15_R3",0.432213949,4322.1394888
"Mae1","ND-28","18_08_15","R4","08","18","LE","quagga","18_08_15_R4",0.510710239,5107.102394
"Mae1","ND-29","18_10_4","R1","10","18","LE","control","18_10_4_R1",8.66512288,86651.2288046
"Mae1","ND-3","18_06_28","R3","06","18","LE","control","18_06_28_R3",0.651851474,6518.5147571
"Mae1","ND-30","18_10_4","R2","10","18","LE","control","18_10_4_R2",7.071129289,70711.292895
"Mae1","ND-31","18_10_4","R3","10","18","LE","control","18_10_4_R3",6.305207872,63052.078716
"Mae1","ND-32","18_10_4","R1","10","18","LE","quagga","18_10_4_R1",3.078956921,30789.569217
"Mae1","ND-33","18_10_4","R2","10","18","LE","quagga","18_10_4_R2",3.255147856,32551.478558
"Mae1","ND-35","19_07_18","R1","07","19","LE","control","19_07_18_R1",6.766511601,67665.116007
"Mae1","ND-36","19_07_18","R2","07","19","LE","control","19_07_18_R2",8.916218293,89162.182938
"Mae1","ND-37","19_07_18","R3","07","19","LE","control","19_07_18_R3",3.049192075,30491.920745
"Mae1","ND-38","19_07_18","R1","07","19","LE","quagga","19_07_18_R1",1.696606724,16966.067247
"Mae1","ND-39","19_07_18","R2","07","19","LE","quagga","19_07_18_R2",2.288340141,22883.401412
"Mae1","ND-4","18_06_28","R1","06","18","LE","quagga","18_06_28_R1",0.744212119,7442.12118
"Mae1","ND-40","19_07_18","R3","07","19","LE","quagga","19_07_18_R3",3.990642631,39906.42631
"Mae1","ND-41","19_07_18","R4","07","19","LE","quagga","19_07_18_R4",1.837891927,18378.919279
"Mae1","ND-42","19_07_31","R1","07","19","LE","control","19_07_31_R1",1.621406777,16214.0677653
"Mae1","ND-43","19_07_31","R2","07","19","LE","control","19_07_31_R2",1.080089177,10800.8917537
"Mae1","ND-44","19_07_31","R3","07","19","LE","control","19_07_31_R3",1.430251871,14302.5187044
"Mae1","ND-45","19_07_31","R1","07","19","LE","quagga","19_07_31_R1",1.381045209,13810.4520985
"Mae1","ND-46","19_07_31","R2","07","19","LE","quagga","19_07_31_R2",1.360488572,13604.8857103
"Mae1","ND-47","19_07_31","R3","07","19","LE","quagga","19_07_31_R3",1.232738477,12327.3847672
"Mae1","ND-48","19_07_31","R4","07","19","LE","quagga","19_07_31_R4",0.831348319,8313.4832038
"Mae1","ND-49","19_08_13","R1","08","19","LE","control","19_08_13_R1",1.279143039,12791.430372
"Mae1","ND-5","18_06_28","R2","06","18","LE","quagga","18_06_28_R2",0.339000016,3390.000162
"Mae1","ND-50","19_08_13","R2","08","19","LE","control","19_08_13_R2",0.490928405,4909.2840481
"Mae1","ND-51","19_08_13","R3","08","19","LE","control","19_08_13_R3",0.507481371,5074.8137145
"Mae1","ND-52","19_08_13","R4","08","19","LE","control","19_08_13_R4",0.585007666,5850.076656
"Mae1","ND-53","19_08_13","R1","08","19","LE","quagga","19_08_13_R1",0.91679634,9167.963411
"Mae1","ND-54","19_08_13","R2","08","19","LE","quagga","19_08_13_R2",1.013403327,10134.033267
"Mae1","ND-55","19_08_13","R3","08","19","LE","quagga","19_08_13_R3",0.911247624,9112.476237
"Mae1","ND-56","19_08_13","R4","08","19","LE","quagga","19_08_13_R4",0.323667939,3236.67939
"Mae1","ND-57","19_09_18","R1","09","19","LE","control","19_09_18_R1",0,0
"Mae1","ND-58","19_09_18","R2","09","19","LE","control","19_09_18_R2",0.884955752,8849.557522
"Mae1","ND-59","19_09_18","R3","09","19","LE","control","19_09_18_R3",1.129943502,11299.435028
"Mae1","ND-6","18_06_28","R3","06","18","LE","quagga","18_06_28_R3",0.722011362,7220.1136251
"Mae1","ND-60","19_09_18","R1","09","19","LE","quagga","19_09_18_R1",0.477326969,4773.26969
"Mae1","ND-61","19_09_18","R2","09","19","LE","quagga","19_09_18_R2",0.486667002,4866.670023
"Mae1","ND-62","19_09_18","R3","09","19","LE","quagga","19_09_18_R3",0.586958392,5869.583917
"Mae1","ND-63","19_09_18","R4","09","19","LE","quagga","19_09_18_R4",0.380258051,3802.58051
"Mae1","ND-64","19_06_12","R1","06","19","LH","control","19_06_12_R1",6.944444444,69444.44444
"Mae1","ND-65","19_06_12","R2","06","19","LH","control","19_06_12_R2",12.82051282,128205.1282
